STATEFIPS,STATE,zipcode,agi_stub,N02650,A02650
12,FL,33179,6,510,250996
12,FL,33180,1,5050,59123
12,FL,33180,2,2710,101026
12,FL,33180,3,1730,108840
12,FL,33180,4,1240,108507
12,FL,33180,5,1990,281341
12,FL,33180,6,1370,874165
12,FL,33181,1,4720,59476
12,FL,33181,2,2210,78952
12,FL,33181,3,860,52713
12,FL,33181,4,410,35981
12,FL,33181,5,530,74906
12,FL,33181,6,390,215810
12,FL,33182,1,3170,40225
12,FL,33182,2,1690,60846
12,FL,33182,3,800,49316
12,FL,33182,4,500,43911
12,FL,33182,5,610,82184
12,FL,33182,6,150,63447
12,FL,33183,1,9030,115327
12,FL,33183,2,4730,170142
12,FL,33183,3,1980,122284
12,FL,33183,4,1050,91625
12,FL,33183,5,1270,170159
12,FL,33183,6,250,101948
12,FL,33184,1,5810,73337
12,FL,33184,2,2580,91792
12,FL,33184,3,1020,62746
12,FL,33184,4,490,43067
12,FL,33184,5,650,87975
12,FL,33184,6,140,47187
12,FL,33185,1,5290,65608
12,FL,33185,2,2730,100517
12,FL,33185,3,1620,101020
12,FL,33185,4,1060,92961
12,FL,33185,5,1650,222176
12,FL,33185,6,270,80579
12,FL,33186,1,13690,170574
12,FL,33186,2,7920,292520
12,FL,33186,3,4610,286756
12,FL,33186,4,2760,241485
12,FL,33186,5,3500,470740
12,FL,33186,6,610,216514
12,FL,33187,1,3860,49263
12,FL,33187,2,1720,62854
12,FL,33187,3,870,53987
12,FL,33187,4,560,49003
12,FL,33187,5,820,108089
12,FL,33187,6,160,53629
12,FL,33189,1,5470,71540
12,FL,33189,2,2760,100282
12,FL,33189,3,1340,82648
12,FL,33189,4,740,64581
12,FL,33189,5,790,102895
12,FL,33189,6,90,30006
12,FL,33190,1,2520,34139
12,FL,33190,2,1590,57159
12,FL,33190,3,760,47074
12,FL,33190,4,440,38467
12,FL,33190,5,410,52300
12,FL,33190,6,40,9934
12,FL,33193,1,11890,151096
12,FL,33193,2,5780,207267
12,FL,33193,3,2390,147068
12,FL,33193,4,1300,113182
12,FL,33193,5,1320,176525
12,FL,33193,6,170,55174
12,FL,33194,1,1170,14402
12,FL,33194,2,590,21319
12,FL,33194,3,330,20582
12,FL,33194,4,240,21474
12,FL,33194,5,280,38311
12,FL,33194,6,60,22419
12,FL,33196,1,9360,117394
12,FL,33196,2,5110,186463
12,FL,33196,3,2640,163871
12,FL,33196,4,1610,140881
12,FL,33196,5,2210,293432
12,FL,33196,6,340,108700
12,FL,33301,1,2120,26054
12,FL,33301,2,1550,58259
12,FL,33301,3,1160,72756
12,FL,33301,4,810,71749
12,FL,33301,5,1400,198481
12,FL,33301,6,1500,1419340
12,FL,33304,1,4360,55573
12,FL,33304,2,2520,92686
12,FL,33304,3,1290,79883
12,FL,33304,4,690,60997
12,FL,33304,5,1060,148543
12,FL,33304,6,670,392982
12,FL,33305,1,2090,27131
12,FL,33305,2,1580,59344
12,FL,33305,3,990,61905
12,FL,33305,4,580,50939
12,FL,33305,5,810,114853
12,FL,33305,6,590,519048
12,FL,33306,1,710,8763
12,FL,33306,2,470,17548
12,FL,33306,3,280,17426
12,FL,33306,4,140,12284
12,FL,33306,5,280,40249
12,FL,33306,6,200,92561
12,FL,33308,1,4850,59156
12,FL,33308,2,3140,118110
12,FL,33308,3,2210,138731
12,FL,33308,4,1420,124558
12,FL,33308,5,2370,336188
12,FL,33308,6,1700,1164404
12,FL,33309,1,10190,134301
12,FL,33309,2,5240,189490
12,FL,33309,3,2240,137518
12,FL,33309,4,990,85600
12,FL,33309,5,830,106512
12,FL,33309,6,160,80512
12,FL,33311,1,22250,295587
12,FL,33311,2,7500,261555
12,FL,33311,3,2050,124503
12,FL,33311,4,750,64660
12,FL,33311,5,580,75738
12,FL,33311,6,80,28044
12,FL,33312,1,12990,168793
12,FL,33312,2,6230,223134
12,FL,33312,3,2720,167768
12,FL,33312,4,1430,124246
12,FL,33312,5,1560,211635
12,FL,33312,6,600,283597
12,FL,33313,1,18570,247344
12,FL,33313,2,6860,238716
12,FL,33313,3,1790,108195
12,FL,33313,4,680,58271
12,FL,33313,5,450,58337
12,FL,33313,6,40,11303
12,FL,33314,1,5870,76013
12,FL,33314,2,3010,108921
12,FL,33314,3,1230,75528
12,FL,33314,4,570,49274
12,FL,33314,5,580,76876
12,FL,33314,6,130,59921
12,FL,33315,1,2860,36443
12,FL,33315,2,1660,61545
12,FL,33315,3,930,57120
12,FL,33315,4,560,49284
12,FL,33315,5,690,95401
12,FL,33315,6,250,98181
12,FL,33316,1,2130,26774
12,FL,33316,2,1360,51206
12,FL,33316,3,780,48820
12,FL,33316,4,520,45560
12,FL,33316,5,810,115286
12,FL,33316,6,920,947113
12,FL,33317,1,8130,101487
12,FL,33317,2,4100,149419
12,FL,33317,3,2140,133192
12,FL,33317,4,1420,124863
12,FL,33317,5,1970,269563
12,FL,33317,6,560,206978
12,FL,33319,1,12800,167812
12,FL,33319,2,6290,224966
12,FL,33319,3,2380,146279
12,FL,33319,4,1010,88103
12,FL,33319,5,890,115846
12,FL,33319,6,150,47936
12,FL,33321,1,10830,139822
12,FL,33321,2,6870,251095
12,FL,33321,3,3470,213764
12,FL,33321,4,1790,153797
12,FL,33321,5,1440,186692
12,FL,33321,6,180,58340
12,FL,33322,1,8510,106284
12,FL,33322,2,4780,174097
12,FL,33322,3,2610,162074
12,FL,33322,4,1480,129323
12,FL,33322,5,1870,251980
12,FL,33322,6,410,135125
12,FL,33323,1,3730,45301
12,FL,33323,2,2310,86414
12,FL,33323,3,1500,93864
12,FL,33323,4,1080,94422
12,FL,33323,5,1460,196690
12,FL,33323,6,400,273848
12,FL,33324,1,8030,99331
12,FL,33324,2,5660,211081
12,FL,33324,3,3550,219886
12,FL,33324,4,1990,174366
12,FL,33324,5,2420,331440
12,FL,33324,6,1050,634789
12,FL,33325,1,5600,69457
12,FL,33325,2,3040,111749
12,FL,33325,3,1740,108325
12,FL,33325,4,1180,104258
12,FL,33325,5,1750,239825
12,FL,33325,6,690,358381
12,FL,33326,1,5540,65212
12,FL,33326,2,2970,110403
12,FL,33326,3,1980,123319
12,FL,33326,4,1400,122571
12,FL,33326,5,2460,343527
12,FL,33326,6,1040,420948
12,FL,33327,1,2610,27306
12,FL,33327,2,1150,42904
12,FL,33327,3,790,50073
12,FL,33327,4,720,64246
12,FL,33327,5,1800,261100
12,FL,33327,6,1450,676312
12,FL,33328,1,4160,48820
12,FL,33328,2,2520,94447
12,FL,33328,3,1690,105338
12,FL,33328,4,1320,116764
12,FL,33328,5,2230,308991
12,FL,33328,6,880,385687
12,FL,33330,1,2170,23996
12,FL,33330,2,1010,37607
12,FL,33330,3,760,47831
12,FL,33330,4,590,52160
12,FL,33330,5,1240,177487
12,FL,33330,6,980,611917
12,FL,33331,1,3330,36651
12,FL,33331,2,1630,60678
12,FL,33331,3,1140,71496
12,FL,33331,4,950,84949
12,FL,33331,5,2200,313451
12,FL,33331,6,1160,716629
12,FL,33332,1,1400,15699
12,FL,33332,2,580,21247
12,FL,33332,3,420,26691
12,FL,33332,4,370,32744
12,FL,33332,5,970,139378
12,FL,33332,6,730,379659
12,FL,33334,1,7260,95910
12,FL,33334,2,4250,153992
12,FL,33334,3,1900,116975
12,FL,33334,4,960,84023
12,FL,33334,5,1140,152078
12,FL,33334,6,280,108247
12,FL,33351,1,8050,105324
12,FL,33351,2,4990,181777
12,FL,33351,3,2400,148224
12,FL,33351,4,1200,104716
12,FL,33351,5,1110,143652
12,FL,33351,6,90,30965
12,FL,33401,1,6010,78519
12,FL,33401,2,3020,109719
12,FL,33401,3,1340,83698
12,FL,33401,4,690,60752
12,FL,33401,5,1060,147055
12,FL,33401,6,740,896933
12,FL,33403,1,3640,48318
12,FL,33403,2,1800,65004
12,FL,33403,3,660,40417
12,FL,33403,4,270,23637
12,FL,33403,5,210,27998
12,FL,33403,6,30,14831
12,FL,33404,1,7320,96428
12,FL,33404,2,3150,111553
12,FL,33404,3,1150,70986
12,FL,33404,4,560,48377
12,FL,33404,5,730,102404
12,FL,33404,6,480,516126
12,FL,33405,1,5050,65395
12,FL,33405,2,2310,82368
12,FL,33405,3,890,55016
12,FL,33405,4,390,34023
12,FL,33405,5,560,76792
12,FL,33405,6,410,232805
12,FL,33406,1,6260,81732
12,FL,33406,2,3340,119207
12,FL,33406,3,1290,79513
12,FL,33406,4,670,58516
12,FL,33406,5,650,86068
12,FL,33406,6,150,57577
12,FL,33407,1,8320,112426
12,FL,33407,2,3650,130088
12,FL,33407,3,1290,78945
12,FL,33407,4,530,46323
12,FL,33407,5,490,65225
12,FL,33407,6,130,75431
12,FL,33408,1,2870,34875
12,FL,33408,2,1970,73795
12,FL,33408,3,1360,85588
12,FL,33408,4,880,77511
12,FL,33408,5,1510,210831
12,FL,33408,6,1140,1456645
12,FL,33409,1,7440,100873
12,FL,33409,2,4290,154146
12,FL,33409,3,1490,91119
12,FL,33409,4,610,53070
12,FL,33409,5,550,73751
12,FL,33409,6,180,86316
12,FL,33410,1,6140,76697
12,FL,33410,2,4120,153150
12,FL,33410,3,2370,147891
12,FL,33410,4,1550,137297
12,FL,33410,5,2300,321384
12,FL,33410,6,1500,1464884
12,FL,33411,1,12440,157789
12,FL,33411,2,7560,276932
12,FL,33411,3,4380,273540
12,FL,33411,4,3050,266684
12,FL,33411,5,4070,549438
12,FL,33411,6,950,392467
12,FL,33412,1,2150,25667
12,FL,33412,2,1260,46819
12,FL,33412,3,850,53018
12,FL,33412,4,750,66384
12,FL,33412,5,1290,177654
12,FL,33412,6,710,361526
12,FL,33413,1,3390,44364
12,FL,33413,2,1980,71959
12,FL,33413,3,960,59374
12,FL,33413,4,540,46891
12,FL,33413,5,580,77073
12,FL,33413,6,90,31017
12,FL,33414,1,8990,106409
12,FL,33414,2,4950,185497
12,FL,33414,3,3290,206663
12,FL,33414,4,2550,225731
12,FL,33414,5,4330,604248
12,FL,33414,6,1740,1164157
12,FL,33415,1,12460,165571
12,FL,33415,2,5910,208496
12,FL,33415,3,1850,112728
12,FL,33415,4,710,61396
12,FL,33415,5,460,58912
12,FL,33415,6,40,11684
12,FL,33417,1,7650,101104
12,FL,33417,2,3780,134628
12,FL,33417,3,1440,87704
12,FL,33417,4,580,50648
12,FL,33417,5,430,56355
12,FL,33417,6,50,16931
12,FL,33418,1,5310,61865
12,FL,33418,2,3500,132568
12,FL,33418,3,2440,153885
12,FL,33418,4,1890,166837
12,FL,33418,5,3490,498876
12,FL,33418,6,2730,1850918
12,FL,33426,1,4560,60548
12,FL,33426,2,3340,124058
12,FL,33426,3,1790,111266
12,FL,33426,4,900,77733
12,FL,33426,5,840,107693
12,FL,33426,6,100,37343
12,FL,33428,1,7760,94125
12,FL,33428,2,3980,146623
12,FL,33428,3,2200,136471
12,FL,33428,4,1420,124750
12,FL,33428,5,2090,288634
12,FL,33428,6,810,355857
12,FL,33430,1,6590,86268
12,FL,33430,2,2060,72277
12,FL,33430,3,520,31682
12,FL,33430,4,220,19109
12,FL,33430,5,230,30433
12,FL,33430,6,50,35202
12,FL,33431,1,3220,37124
12,FL,33431,2,1600,59361
12,FL,33431,3,980,61506
12,FL,33431,4,600,52845
12,FL,33431,5,1180,164284
12,FL,33431,6,1020,1017262
12,FL,33432,1,3600,43585
12,FL,33432,2,1890,70019
12,FL,33432,3,1060,66549
12,FL,33432,4,680,60776
12,FL,33432,5,1360,193457
12,FL,33432,6,1620,2164738
12,FL,33433,1,7670,92157
12,FL,33433,2,4750,177428
12,FL,33433,3,3150,196744
12,FL,33433,4,2070,181789
12,FL,33433,5,2970,407276
12,FL,33433,6,1320,683071
12,FL,33434,1,3490,39392
12,FL,33434,2,1700,63201
12,FL,33434,3,1110,69704
12,FL,33434,4,870,76355
12,FL,33434,5,1460,207130
12,FL,33434,6,1070,594966
12,FL,33435,1,9390,123840
12,FL,33435,2,4300,153702
12,FL,33435,3,1640,101215
12,FL,33435,4,840,73132
12,FL,33435,5,1000,136167
12,FL,33435,6,500,509559
12,FL,33436,1,8200,105671
12,FL,33436,2,5040,184500
12,FL,33436,3,2830,175909
12,FL,33436,4,1690,147552
12,FL,33436,5,2150,293140
12,FL,33436,6,840,455616
12,FL,33437,1,5980,76730
12,FL,33437,2,3960,147404
12,FL,33437,3,2940,184333
12,FL,33437,4,2230,195060
12,FL,33437,5,3280,447254
12,FL,33437,6,770,268948
12,FL,33438,1,170,2381
12,FL,33438,2,180,6566
12,FL,33438,3,50,2769
12,FL,33438,4,40,3972
12,FL,33438,5,0,0
12,FL,33438,6,0,0
12,FL,33440,1,4300,58861
12,FL,33440,2,2160,77498
12,FL,33440,3,760,46584
12,FL,33440,4,350,29657
12,FL,33440,5,550,74979
12,FL,33440,6,110,80666
12,FL,33441,1,6810,88893
12,FL,33441,2,3580,128866
12,FL,33441,3,1480,91850
12,FL,33441,4,660,57469
12,FL,33441,5,830,114625
12,FL,33441,6,300,174193
12,FL,33442,1,5730,72620
12,FL,33442,2,3600,132090
12,FL,33442,3,1920,118628
12,FL,33442,4,1100,96160
12,FL,33442,5,1120,149595
12,FL,33442,6,220,103732
12,FL,33444,1,6400,84005
12,FL,33444,2,2690,95591
12,FL,33444,3,970,60737
12,FL,33444,4,530,46767
12,FL,33444,5,750,105068
12,FL,33444,6,350,171910
12,FL,33445,1,7090,91385
12,FL,33445,2,3940,143960
12,FL,33445,3,2110,130800
12,FL,33445,4,1150,100656
12,FL,33445,5,1550,210015
12,FL,33445,6,570,328724
12,FL,33446,1,3730,44268
12,FL,33446,2,1950,71724
12,FL,33446,3,1380,86281
12,FL,33446,4,1020,89267
12,FL,33446,5,1800,255606
12,FL,33446,6,1390,956804
12,FL,33449,1,1150,13204
12,FL,33449,2,600,22592
12,FL,33449,3,410,26573
12,FL,33449,4,410,36735
12,FL,33449,5,1010,144950
12,FL,33449,6,610,271852
12,FL,33455,1,3190,40284
12,FL,33455,2,1890,70211
12,FL,33455,3,1270,79888
12,FL,33455,4,900,79018
12,FL,33455,5,1310,177414
12,FL,33455,6,660,955754
12,FL,33458,1,8170,98339
12,FL,33458,2,4920,182748
12,FL,33458,3,3100,195092
12,FL,33458,4,2160,190415
12,FL,33458,5,3800,531782
12,FL,33458,6,2110,1157691
12,FL,33460,1,11370,142830
12,FL,33460,2,3570,124589
12,FL,33460,3,1200,73778
12,FL,33460,4,530,46508
12,FL,33460,5,500,65692
12,FL,33460,6,140,59337
12,FL,33461,1,11610,154002
12,FL,33461,2,4750,166811
12,FL,33461,3,1480,90280
12,FL,33461,4,590,50924
12,FL,33461,5,410,52952
12,FL,33461,6,60,29411
12,FL,33462,1,7400,97712
12,FL,33462,2,3830,137533
12,FL,33462,3,1610,99471
12,FL,33462,4,830,72003
12,FL,33462,5,990,134187
12,FL,33462,6,460,700756
12,FL,33463,1,13470,180149
12,FL,33463,2,6480,231266
12,FL,33463,3,2670,164544
12,FL,33463,4,1520,132494
12,FL,33463,5,1600,213401
12,FL,33463,6,260,88344
12,FL,33467,1,8240,99936
12,FL,33467,2,4570,168957
12,FL,33467,3,3180,199513
12,FL,33467,4,2490,220081
12,FL,33467,5,4080,558820
12,FL,33467,6,1060,377076
12,FL,33469,1,2190,25899
12,FL,33469,2,1460,54796
12,FL,33469,3,990,62190
12,FL,33469,4,740,65196
12,FL,33469,5,1260,176416
12,FL,33469,6,920,703149
12,FL,33470,1,4670,57243
12,FL,33470,2,2730,101049
12,FL,33470,3,1780,111873
12,FL,33470,4,1360,119450
12,FL,33470,5,1680,222082
12,FL,33470,6,280,105378
12,FL,33471,1,950,12840
12,FL,33471,2,530,18691
12,FL,33471,3,210,13150
12,FL,33471,4,120,10545
12,FL,33471,5,120,31524
12,FL,33471,6,0,0
12,FL,33472,1,2600,31249
12,FL,33472,2,1670,61892
12,FL,33472,3,1270,79793
12,FL,33472,4,1020,89488
12,FL,33472,5,1570,214913
12,FL,33472,6,470,191779
12,FL,33473,1,610,6784
12,FL,33473,2,340,13032
12,FL,33473,3,310,19946
12,FL,33473,4,320,28325
12,FL,33473,5,980,139562
12,FL,33473,6,600,238921
12,FL,33476,1,1650,22005
12,FL,33476,2,670,23672
12,FL,33476,3,170,10711
12,FL,33476,4,60,4776
12,FL,33476,5,60,8855
12,FL,33476,6,0,0
12,FL,33477,1,1580,19004
12,FL,33477,2,1070,40550
12,FL,33477,3,800,50461
12,FL,33477,4,670,59293
12,FL,33477,5,1200,170850
12,FL,33477,6,1160,1346437
12,FL,33478,1,1900,21434
12,FL,33478,2,1120,42143
12,FL,33478,3,800,50645
12,FL,33478,4,710,62793
12,FL,33478,5,1250,173122
12,FL,33478,6,360,145203
12,FL,33480,1,1300,14930
12,FL,33480,2,750,28159
12,FL,33480,3,560,35032
12,FL,33480,4,390,34917
12,FL,33480,5,810,116944
12,FL,33480,6,1760,3497657
12,FL,33483,1,2190,27359
12,FL,33483,2,1240,45864
12,FL,33483,3,830,51796
12,FL,33483,4,560,49685
12,FL,33483,5,1070,154973
12,FL,33483,6,1220,1285944
12,FL,33484,1,4900,59189
12,FL,33484,2,2730,101201
12,FL,33484,3,1600,99456
12,FL,33484,4,990,86019
12,FL,33484,5,1010,137113
12,FL,33484,6,440,310880
12,FL,33486,1,3670,43122
12,FL,33486,2,1990,74172
12,FL,33486,3,1280,80816
12,FL,33486,4,960,85707
12,FL,33486,5,1790,256781
12,FL,33486,6,910,501958
12,FL,33487,1,2760,33232
12,FL,33487,2,1840,69091
12,FL,33487,3,1200,75990
12,FL,33487,4,880,77813
12,FL,33487,5,1540,220612
12,FL,33487,6,1160,950680
12,FL,33493,1,840,11949
12,FL,33493,2,320,11532
12,FL,33493,3,90,5686
12,FL,33493,4,20,2096
12,FL,33493,5,20,3799
12,FL,33493,6,0,0
12,FL,33496,1,3340,37223
12,FL,33496,2,1660,62473
12,FL,33496,3,1160,72879
12,FL,33496,4,850,74811
12,FL,33496,5,1590,227309
12,FL,33496,6,2110,2389329
12,FL,33498,1,2290,25318
12,FL,33498,2,1090,41007
12,FL,33498,3,770,48621
12,FL,33498,4,670,59094
12,FL,33498,5,1400,201064
12,FL,33498,6,710,268157
12,FL,33510,1,5480,72601
12,FL,33510,2,3590,130531
12,FL,33510,3,1770,109679
12,FL,33510,4,1050,91515
12,FL,33510,5,1050,137235
12,FL,33510,6,130,45028
12,FL,33511,1,9490,125513
12,FL,33511,2,7090,260890
12,FL,33511,3,3740,231753
12,FL,33511,4,2140,186500
12,FL,33511,5,2280,301321
12,FL,33511,6,420,154604
12,FL,33513,1,1910,25181
12,FL,33513,2,1020,36518
12,FL,33513,3,480,30024
12,FL,33513,4,280,24221
12,FL,33513,5,240,31332
12,FL,33513,6,40,12504
12,FL,33514,1,380,5065
12,FL,33514,2,210,7136
12,FL,33514,3,80,4805
12,FL,33514,4,60,4846
12,FL,33514,5,30,4122
12,FL,33514,6,0,0
12,FL,33523,1,3230,43233
12,FL,33523,2,1610,57277
12,FL,33523,3,750,46258
12,FL,33523,4,410,35597
12,FL,33523,5,450,59207
12,FL,33523,6,90,29543
12,FL,33525,1,3120,41060
12,FL,33525,2,1690,61274
12,FL,33525,3,910,56859
12,FL,33525,4,570,50135
12,FL,33525,5,700,93716
12,FL,33525,6,210,84177
12,FL,33527,1,3180,43422
12,FL,33527,2,1680,59731
12,FL,33527,3,700,43391
12,FL,33527,4,460,40226
12,FL,33527,5,660,88895
12,FL,33527,6,110,55490
12,FL,33534,1,2840,38009
12,FL,33534,2,1590,57812
12,FL,33534,3,660,40738
12,FL,33534,4,350,30401
12,FL,33534,5,260,33429
12,FL,33534,6,30,7811
12,FL,33538,1,870,11486
12,FL,33538,2,440,15778
12,FL,33538,3,180,11076
12,FL,33538,4,110,9153
12,FL,33538,5,120,33716
12,FL,33538,6,0,0
12,FL,33540,1,1440,18458
12,FL,33540,2,880,31817
12,FL,33540,3,420,26186
12,FL,33540,4,230,19859
12,FL,33540,5,190,28074
12,FL,33540,6,0,0
12,FL,33541,1,3280,42871
12,FL,33541,2,2020,73783
12,FL,33541,3,1040,63844
12,FL,33541,4,580,49859
12,FL,33541,5,420,53479
12,FL,33541,6,50,15696
12,FL,33542,1,4010,51997
12,FL,33542,2,2140,76289
12,FL,33542,3,890,55057
12,FL,33542,4,400,34714
12,FL,33542,5,240,30541
12,FL,33542,6,30,11763
12,FL,33543,1,3390,42161
12,FL,33543,2,2290,85868
12,FL,33543,3,1710,106942
12,FL,33543,4,1250,109307
12,FL,33543,5,1570,208291
12,FL,33543,6,230,109730
12,FL,33544,1,3420,43228
12,FL,33544,2,2270,84210
12,FL,33544,3,1540,96698
12,FL,33544,4,1200,105849
12,FL,33544,5,1730,236398
12,FL,33544,6,410,137650
12,FL,33545,1,2260,29002
12,FL,33545,2,1890,70531
12,FL,33545,3,1140,71336
12,FL,33545,4,740,64670
12,FL,33545,5,830,107752
12,FL,33545,6,70,19159
12,FL,33547,1,2680,29675
12,FL,33547,2,1420,53348
12,FL,33547,3,1210,76777
12,FL,33547,4,1130,100149
12,FL,33547,5,2230,309539
12,FL,33547,6,840,319768
12,FL,33548,1,990,11953
12,FL,33548,2,540,19970
12,FL,33548,3,410,25670
12,FL,33548,4,340,30338
12,FL,33548,5,640,90083
12,FL,33548,6,310,141742
12,FL,33549,1,2830,34914
12,FL,33549,2,1710,63146
12,FL,33549,3,1040,64759
12,FL,33549,4,780,68195
12,FL,33549,5,1220,166491
12,FL,33549,6,340,117368
12,FL,33556,1,3080,34987
12,FL,33556,2,1650,61542
12,FL,33556,3,1180,74608
12,FL,33556,4,1050,94083
12,FL,33556,5,2280,322723
12,FL,33556,6,1220,761716
12,FL,33558,1,2950,34959
12,FL,33558,2,1940,72117
12,FL,33558,3,1130,70222
12,FL,33558,4,930,81854
12,FL,33558,5,1920,271066
12,FL,33558,6,800,328979
12,FL,33559,1,2770,35061
12,FL,33559,2,1780,65384
12,FL,33559,3,950,59141
12,FL,33559,4,600,51865
12,FL,33559,5,640,84137
12,FL,33559,6,160,69727
12,FL,33563,1,5510,75238
12,FL,33563,2,3320,118212
12,FL,33563,3,1260,76919
12,FL,33563,4,620,53336
12,FL,33563,5,420,53284
12,FL,33563,6,60,24013
12,FL,33565,1,2980,39003
12,FL,33565,2,1830,66311
12,FL,33565,3,950,58857
12,FL,33565,4,660,57325
12,FL,33565,5,680,87886
12,FL,33565,6,120,44030
12,FL,33566,1,3590,47653
12,FL,33566,2,2170,77737
12,FL,33566,3,1080,66644
12,FL,33566,4,760,66275
12,FL,33566,5,910,121556
12,FL,33566,6,200,94311
12,FL,33567,1,1970,26301
12,FL,33567,2,1100,39832
12,FL,33567,3,540,33185
12,FL,33567,4,340,29843
12,FL,33567,5,320,42132
12,FL,33567,6,50,21399
12,FL,33569,1,3970,49579
12,FL,33569,2,2460,90419
12,FL,33569,3,1650,102407
12,FL,33569,4,1160,101301
12,FL,33569,5,1510,202721
12,FL,33569,6,230,71864
12,FL,33570,1,4590,62546
12,FL,33570,2,2690,97002
12,FL,33570,3,1270,78743
12,FL,33570,4,700,61311
12,FL,33570,5,620,81261
12,FL,33570,6,60,28486
12,FL,33572,1,2290,28897
12,FL,33572,2,1650,62354
12,FL,33572,3,1150,72368
12,FL,33572,4,990,86825
12,FL,33572,5,1600,221693
12,FL,33572,6,610,278365
12,FL,33573,1,3720,47245
12,FL,33573,2,2600,96247
12,FL,33573,3,1840,114498
12,FL,33573,4,1370,118999
12,FL,33573,5,1390,184396
12,FL,33573,6,200,60960
12,FL,33576,1,810,10366
12,FL,33576,2,570,21122
12,FL,33576,3,390,24214
12,FL,33576,4,300,26071
12,FL,33576,5,320,41487
12,FL,33576,6,60,19033
12,FL,33578,1,6810,91224
12,FL,33578,2,5480,202976
12,FL,33578,3,2960,183062
12,FL,33578,4,1740,151524
12,FL,33578,5,1710,223643
12,FL,33578,6,220,94220
12,FL,33579,1,3660,47387
12,FL,33579,2,2660,98848
12,FL,33579,3,1750,108564
12,FL,33579,4,1230,107563
12,FL,33579,5,1430,187986
12,FL,33579,6,160,48244
12,FL,33584,1,4740,61703
12,FL,33584,2,3010,109557
12,FL,33584,3,1560,96383
12,FL,33584,4,880,77053
12,FL,33584,5,960,126032
12,FL,33584,6,140,47912
12,FL,33585,1,210,2729
12,FL,33585,2,130,4567
12,FL,33585,3,70,4198
12,FL,33585,4,40,3210
12,FL,33585,5,50,6927
12,FL,33585,6,0,0
12,FL,33592,1,2070,26228
12,FL,33592,2,1090,38820
12,FL,33592,3,430,26579
12,FL,33592,4,280,24099
12,FL,33592,5,270,36015
12,FL,33592,6,100,67597
12,FL,33594,1,5200,65321
12,FL,33594,2,3540,129846
12,FL,33594,3,2150,133776
12,FL,33594,4,1560,136530
12,FL,33594,5,1880,248988
12,FL,33594,6,290,89043
12,FL,33596,1,3910,44460
12,FL,33596,2,2310,86181
12,FL,33596,3,1710,107963
12,FL,33596,4,1500,132809
12,FL,33596,5,2970,408627
12,FL,33596,6,680,214107
12,FL,33597,1,1480,19358
12,FL,33597,2,760,27466
12,FL,33597,3,360,22280
12,FL,33597,4,180,14871
12,FL,33597,5,170,22960
12,FL,33597,6,0,0
12,FL,33598,1,3480,49155
12,FL,33598,2,1640,57141
12,FL,33598,3,670,41674
12,FL,33598,4,410,35911
12,FL,33598,5,510,67119
12,FL,33598,6,90,28322
12,FL,33602,1,2160,27518
12,FL,33602,2,1540,58988
12,FL,33602,3,1010,63496
12,FL,33602,4,720,62844
12,FL,33602,5,1100,154431
12,FL,33602,6,670,484414
12,FL,33603,1,4660,60416
12,FL,33603,2,2550,92437
12,FL,33603,3,1000,61268
12,FL,33603,4,500,43298
12,FL,33603,5,440,58119
12,FL,33603,6,70,36971
12,FL,33604,1,9460,123710
12,FL,33604,2,4210,150180
12,FL,33604,3,1500,91667
12,FL,33604,4,650,56675
12,FL,33604,5,510,65298
12,FL,33604,6,90,41309
12,FL,33605,1,4750,61956
12,FL,33605,2,1780,62711
12,FL,33605,3,510,30716
12,FL,33605,4,150,13269
12,FL,33605,5,110,14638
12,FL,33605,6,30,31088
12,FL,33606,1,2240,27293
12,FL,33606,2,1740,66522
12,FL,33606,3,1070,66973
12,FL,33606,4,690,60555
12,FL,33606,5,1200,173047
12,FL,33606,6,1150,772796
12,FL,33607,1,6370,82887
12,FL,33607,2,3010,107935
12,FL,33607,3,1110,68141
12,FL,33607,4,540,47291
12,FL,33607,5,510,67185
12,FL,33607,6,170,105212
12,FL,33609,1,2750,34101
12,FL,33609,2,2090,78903
12,FL,33609,3,1230,75800
12,FL,33609,4,670,58803
12,FL,33609,5,1120,158297
12,FL,33609,6,960,598051
12,FL,33610,1,10930,144425
12,FL,33610,2,4690,163753
12,FL,33610,3,1380,83940
12,FL,33610,4,520,44564
12,FL,33610,5,310,38319
12,FL,33610,6,30,12939
12,FL,33611,1,5090,67755
12,FL,33611,2,4060,149707
12,FL,33611,3,2260,139778
12,FL,33611,4,1290,112795
12,FL,33611,5,1690,233550
12,FL,33611,6,980,481351
12,FL,33612,1,11520,151239
12,FL,33612,2,4480,157575
12,FL,33612,3,1390,84941
12,FL,33612,4,630,54759
12,FL,33612,5,570,74869
12,FL,33612,6,150,86298
12,FL,33613,1,8050,106555
12,FL,33613,2,3260,114192
12,FL,33613,3,940,57738
12,FL,33613,4,450,39319
12,FL,33613,5,560,77643
12,FL,33613,6,390,355618
12,FL,33614,1,13490,179115
12,FL,33614,2,6330,221719
12,FL,33614,3,1740,105966
12,FL,33614,4,730,63059
12,FL,33614,5,560,72544
12,FL,33614,6,110,48472
12,FL,33615,1,10840,142154
12,FL,33615,2,6280,224906
12,FL,33615,3,2180,133925
12,FL,33615,4,1140,99526
12,FL,33615,5,1210,163038
12,FL,33615,6,360,176195
12,FL,33616,1,2960,39343
